"ID","Name_submitted","Overall_score","Name_matched_id","Name_matched","Name_score","Name_matched_rank","Author_submitted","Author_matched","Author_score","Canonical_author","Name_matched_accepted_family","Genus_submitted","Genus_matched","Genus_score","Specific_epithet_submitted","Specific_epithet_matched","Specific_epithet_score","Family_submitted","Family_matched","Family_score","Infraspecific_rank","Infraspecific_epithet_matched","Infraspecific_epithet_score","Infraspecific_rank_2","Infraspecific_epithet_2_matched","Infraspecific_epithet_2_score","Annotations","Unmatched_terms","Name_matched_url","Name_matched_lsid","Phonetic","Taxonomic_status","Accepted_name","Accepted_species","Accepted_name_author","Accepted_name_id","Accepted_name_rank","Accepted_name_url","Accepted_name_lsid","Accepted_family","Overall_score_order","Highertaxa_score_order","Source","Warnings","WarningsEng"
"297","Stenocereus_treleasei",0.9,"1272103","Stenocereus treleasei",1,"species","","",NA,"(Rose) Backeb.","Cactaceae","Stenocereus","Stenocereus",1,"treleasei","treleasei",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/4b2316b3-7aa4-44e3-801f-3efb0cafe213","","Y","Accepted","Stenocereus treleasei","Stenocereus treleasei","(Rose) Backeb.","1272103","species","https://caryophyllales.org/cdm_dataportal/taxon/4b2316b3-7aa4-44e3-801f-3efb0cafe213","","Cactaceae","1","1","cact","0",""
"298","Stenocereus_thurberi",0.9,"1269942","Stenocereus thurberi",1,"species","","",NA,"(Engelm.) Buxb.","Cactaceae","Stenocereus","Stenocereus",1,"thurberi","thurberi",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/e21b8545-da2e-412a-91fc-917b4ded83ae","","Y","Accepted","Stenocereus thurberi","Stenocereus thurberi","(Engelm.) Buxb.","1269942","species","https://caryophyllales.org/cdm_dataportal/taxon/e21b8545-da2e-412a-91fc-917b4ded83ae","","Cactaceae","1","1","cact","0",""
"299","Stenocereus_beneckei",0.9,"1239970","Stenocereus beneckei",1,"species","","",NA,"(Ehrenb.) A.Berger & Buxb.","Cactaceae","Stenocereus","Stenocereus",1,"beneckei","beneckei",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/12293221-661f-46e1-be11-7edf9fac461e","","Y","Accepted","Stenocereus beneckei","Stenocereus beneckei","(Ehrenb.) A.Berger & Buxb.","1239970","species","https://caryophyllales.org/cdm_dataportal/taxon/12293221-661f-46e1-be11-7edf9fac461e","","Cactaceae","1","1","cact","0",""
"300","Stenocereus_queretaroensis",0.9,"433544","Stenocereus queretaroensis",1,"species","","",NA,"(F.A.C.Weber) Buxb.","Cactaceae","Stenocereus","Stenocereus",1,"queretaroensis","queretaroensis",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/b469314d-2ed8-40c8-aee8-3678e9dda1ee","","Y","Accepted","Stenocereus queretaroensis","Stenocereus queretaroensis","(F.A.C.Weber) Buxb.","433544","species","https://caryophyllales.org/cdm_dataportal/taxon/b469314d-2ed8-40c8-aee8-3678e9dda1ee","","Cactaceae","1","1","cact","0",""
"301","Stenocereus_montanus",0.9,"1239980","Stenocereus montanus",1,"species","","",NA,"(Britton & Rose) Buxb.","Cactaceae","Stenocereus","Stenocereus",1,"montanus","montanus",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/b6aef30a-e55b-46b4-8363-522dee484a88","","Y","Accepted","Stenocereus montanus","Stenocereus montanus","(Britton & Rose) Buxb.","1239980","species","https://caryophyllales.org/cdm_dataportal/taxon/b6aef30a-e55b-46b4-8363-522dee484a88","","Cactaceae","1","1","cact","0",""
"302","Stenocereus_stellatus",0.9,"1272102","Stenocereus stellatus",1,"species","","",NA,"(Pfeiff.) Riccob.","Cactaceae","Stenocereus","Stenocereus",1,"stellatus","stellatus",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/99a5bb85-66b8-4884-85f0-f30b02653f46","","Y","Accepted","Stenocereus stellatus","Stenocereus stellatus","(Pfeiff.) Riccob.","1272102","species","https://caryophyllales.org/cdm_dataportal/taxon/99a5bb85-66b8-4884-85f0-f30b02653f46","","Cactaceae","1","1","cact","0",""
"303","Stenocereus_chrysocarpus",0.9,"1216510","Stenocereus chrysocarpus",1,"species","","",NA,"Sánchez-Mej.","Cactaceae","Stenocereus","Stenocereus",1,"chrysocarpus","chrysocarpus",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/6574ed81-eb34-48f0-ae91-023c92444664","","Y","Accepted","Stenocereus chrysocarpus","Stenocereus chrysocarpus","Sánchez-Mej.","1216510","species","https://caryophyllales.org/cdm_dataportal/taxon/6574ed81-eb34-48f0-ae91-023c92444664","","Cactaceae","1","1","cact","0",""
"304","Stenocereus_martinezii",0.9,"1239977","Stenocereus martinezii",1,"species","","",NA,"(J.G.Ortega) Buxb.","Cactaceae","Stenocereus","Stenocereus",1,"martinezii","martinezii",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/1a1d0303-42f1-4a97-b529-6053920381d3","","Y","Accepted","Stenocereus martinezii","Stenocereus martinezii","(J.G.Ortega) Buxb.","1239977","species","https://caryophyllales.org/cdm_dataportal/taxon/1a1d0303-42f1-4a97-b529-6053920381d3","","Cactaceae","1","1","cact","0",""
"305","Stenocereus_alamosensis",0.9,"1269941","Stenocereus alamosensis",1,"species","","",NA,"(J.M.Coult.) A.C.Gibson & K.E.Horak","Cactaceae","Stenocereus","Stenocereus",1,"alamosensis","alamosensis",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/73d4a21c-ea09-4260-a905-03a4e862abe8","","Y","Accepted","Stenocereus alamosensis","Stenocereus alamosensis","(J.M.Coult.) A.C.Gibson & K.E.Horak","1269941","species","https://caryophyllales.org/cdm_dataportal/taxon/73d4a21c-ea09-4260-a905-03a4e862abe8","","Cactaceae","1","1","cact","0",""
"306","Stenocereus_kerberi",0.9,"1239976","Stenocereus kerberi",1,"species","","",NA,"(K.Schum.) A.C.Gibson & K.E.Horak","Cactaceae","Stenocereus","Stenocereus",1,"kerberi","kerberi",1,"","",NA,"","",NA,"","",NA,"","_","https://caryophyllales.org/cdm_dataportal/taxon/8c1c5bf4-5718-4662-8fa6-a2840cedb88f","","Y","Accepted","Stenocereus kerberi","Stenocereus kerberi","(K.Schum.) A.C.Gibson & K.E.Horak","1239976","species","https://caryophyllales.org/cdm_dataportal/taxon/8c1c5bf4-5718-4662-8fa6-a2840cedb88f","","Cactaceae","1","1","cact","0",""
