"","species","nicheSize_GFDL","nicheSize_MPI","nicheSize_UKESM","nicheDensity_GFDL","nicheDensity_MPI","nicheDensity_UKESM"
"26","Austrocylindropuntia exaltata",10.5600097713278,11.179677403992,9.90848255899365,252573,405819,504703
"27","Austrocylindropuntia floccosa",24.1414006613634,24.3793933223235,23.9401276815783,730065,1060439,1652402
"28","Austrocylindropuntia shaferi",9.89825034901973,11.2685207064554,16.1133082378777,211257,376061,759894
"29","Austrocylindropuntia subulata",35.6889332147221,36.919012059434,35.8717407477842,1287180,1540731,2498472
"30","Austrocylindropuntia vestita",12.9683187437487,14.7686918155665,15.5223135744236,450287,699595,1083356
"31","Aylostera deminuta",17.9691796195045,20.402801714799,14.3324685681095,666096,1019212,1074430
"32","Aylostera pygmaea",11.1666317540678,12.061362346402,14.2408189096586,176196,262685,666194
"33","Bergerocactus emoryi",2.88676014667359,3.16172521254496,2.77565341644106,374515,232657,217834
"34","Borzicactus acanthurus",5.77955893760424,6.3442247041984,4.66459850624188,42017,38330,224979
"35","Borzicactus icosagonus",3.59883125784265,3.67700448747955,1.56235578811223,60751,89960,73701
"36","Borzicactus sepium",11.9411123704158,12.8073593371922,7.5311684983554,669036,805238,581267
"37","Brasiliopuntia brasiliensis",45.2427250029519,45.6057102576463,33.6147795424805,2530426,2707995,2398425
"38","Browningia altissima",3.31968908651284,4.63436319246214,7.50440732365564,113334,116237,788884
"39","Cactus coquimbanus",2.40098169802384,2.57710326568875,3.33756864268161,115185,165708,61165
"40","Carnegiea gigantea",22.493595527918,22.9360780059827,16.772372339407,1757684,1576851,1779649
"41","Cephalocereus apicicephalium",2.76464332353198,2.07095983855519,10.5789109055382,203078,170664,535116
"42","Cephalocereus columna-trajani",2.5879838971427,2.63941361301306,1.61853121685065,187049,119970,63731
"43","Cephalocereus mezcalaensis",8.74885445944694,9.01753102905838,4.89167449437043,713962,662499,193428
"44","Cephalocereus nudus",9.36989260759194,9.34113843404661,9.98709128493723,712566,604005,532391
"45","Cephalocereus polylophus",6.0554594604644,6.17356609591907,13.3163880426746,528761,452378,1049184
"46","Cephalocereus scoparius",6.6904936711837,7.43416933702834,3.69181537449735,427948,371391,303959
"47","Cephalocereus senilis",1.63196159622436,1.65244252396186,2.00775943574849,167362,94760,77884
"48","Cephalocereus tetetzo",12.058167321511,12.9130027123781,9.43027365550056,925859,779510,489918
"49","Cephalocereus totolapensis",1.50245478264923,1.45798805374052,1.81847852890457,133043,102999,66957
"50","Cereus fernambucensis",14.7779159790368,18.2330027259501,25.8375233805777,1105839,1256257,2127675
"51","Cereus fricii",9.05561938543077,8.73027211866136,11.7880907379672,876050,820746,1216387
"52","Cereus hankeanus",26.1312289672488,28.4878618626794,16.3372297585026,1129483,1260667,1199975
"53","Cereus hexagonus",26.2110774901194,27.9998553835032,41.6268552839907,2327691,2221903,3116386
"54","Cereus hildmannianus",42.2296401344952,42.3486052176934,30.5334190900428,2285250,2371575,2451003
"55","Cereus jamacaru",29.2523764855849,32.9015257104858,32.6804400277911,1879343,1892483,2099221
"56","Cereus repandus",13.6058305102208,13.6472536018616,14.0224491668818,1102085,1100787,1366216
"57","Cereus vargasianus",5.95641109366419,6.74610165936943,7.69006389970235,256262,293197,637962
"58","Cipocereus minensis",3.20664863124222,3.66876860257535,5.41571583020785,205478,200130,667045
"59","Cleistocactus buchtienii",8.74247235762305,9.97095888186359,5.2835988029982,195396,366870,267917
"60","Cleistocactus candelilla",3.94285535818454,3.77087692061441,3.96275941406473,384557,363977,214398
"61","Cleistocactus hyalacanthus",8.60694223532064,8.70398303521584,5.59575035191919,167107,307551,372607
"62","Cleistocactus parviflorus",18.5784243030515,20.4301847119467,7.41235125080305,791928,943454,370690
"63","Cleistocactus smaragdiflorus",11.8788266896013,13.2116262991823,11.1532246000614,216428,406777,932053
"64","Cleistocactus tominensis",10.9877773756259,12.3585970502426,6.35791706583506,590062,769872,298919
"65","Cochemiea albicans",3.53229259183389,3.5920670811159,2.93975896829986,277360,331143,260948
"66","Cochemiea armillata",1.27576636596943,1.2738208568093,1.80858455058581,127610,123275,129987
"67","Cochemiea barbata",6.55037277589144,6.14283677636452,9.37545675864467,662036,480292,905945
"68","Cochemiea blossfeldiana",1.51830009035108,1.46634071378309,4.1743465782734,206904,104003,209109
"69","Cochemiea capensis",0.541543135562909,0.544752313062161,0.834653879816227,60807,44849,56652
"70","Cochemiea conoidea",17.3852043175906,18.3100548717276,15.6920707682057,1483062,1441766,934250
"71","Cochemiea dioica",14.3848068974771,15.2977197211485,18.4846262826084,1339711,1249963,1294130
"72","Cochemiea fraileana",0.948705810523792,0.998803796666137,0.923339829414792,85055,91621,92291
"73","Cochemiea grahamii",35.2289239210766,36.1134397070627,20.409595032534,2232015,2132231,2154854
"74","Cochemiea hutchisoniana",5.88302765896768,6.60724325309694,6.7981161247241,641656,471558,515088
"75","Cochemiea mainiae",3.71317998970057,3.47380441992918,3.29370823032719,234958,131683,298649
