"species","rangeSize100","rangeSize0","GCM","nicheSize","nicheDensity","rangeChange0_SSP1","rangeChange0_SSP3","rangeChange0_SSP5","rangeChange100_SSP1","rangeChange100_SSP3","rangeChange100_SSP5"
"Echinocereus rigidissimus",154724,105582,"GFDL-ESM4",6.15364702981369,620060,1.20318804341649,1.39493474266447,1.39493474266447,1.38006385563972,1.58795661952897,1.58795661952897
"Echinocereus russanthus",34479,17054,"GFDL-ESM4",4.53327761320552,390826,1.61006215550604,1.61006215550604,1.61006215550604,2.99144406740335,2.99144406740335,2.99144406740335
"Echinocereus salm-dyckianus",55935,41634,"UKESM1-0-LL",7.70147558563034,564735,1.66128644857568,1.66128644857568,1.66128644857568,2.87918119245553,2.88130866183964,2.76554929829266
"Echinocereus santaritensis",185726,125944,"MPI-ESM1-2-HR",10.8892708223619,756489,0.325470050181033,0,0,0.436481698846688,0,0
"Echinocereus scheeri",34251,15657,"UKESM1-0-LL",1.36845585251165,94841,1.25502969917609,1.25502969917609,1.25502969917609,2.55861142740358,2.43949081778634,2.36381419520598
"Echinocereus stolonifer",76275,35330,"MPI-ESM1-2-HR",5.25451122906405,173169,1.30022643645627,1.30022643645627,1.30022643645627,1.65464437889217,1.65464437889217,1.65464437889217
"Echinocereus stramineus",608085,490354,"MPI-ESM1-2-HR",14.1357471836068,1100397,1.28939908719007,1.28945618879422,1.28945618879422,1.26087964675991,1.26124143828577,1.26124143828577
"Echinocereus triglochidiatus",931835,838220,"UKESM1-0-LL",21.3319131138552,2292223,1.02223521271265,1.16554007301186,1.06782109708668,1.01157179114328,1.14758728744896,1.05489276535009
"Echinocereus viereckii",79462,43414,"MPI-ESM1-2-HR",9.10839415980165,700081,0,0,0,0,0,0
"Echinocereus viridiflorus",610588,528473,"GFDL-ESM4",19.6951383152105,1802249,1.22632944350989,1.233571062287,1.25769717658234,1.29718893918649,1.31292950401908,1.34032113307173
"Echinocereus weinbergii",33841,12962,"GFDL-ESM4",2.72853867055687,332952,0.213238697731832,0.00964357352260454,0.000848634469989199,0.365976182736917,0.0401879377086966,0.0159865252208859
"Echinopsis aurea",202055,123716,"GFDL-ESM4",9.48339274324369,630554,1.39463771864593,1.51125157619063,1.73731772769892,1.38128727326718,1.47778080225681,1.62966024102348
"Echinopsis haematantha",27636,17923,"UKESM1-0-LL",3.1688310071574,207164,1.03068682698209,1.28164927746471,1.31746917368744,1.38334057027066,2.20408163265306,2.3515704154002
"Epiphyllum cartagense",30784,22341,"GFDL-ESM4",16.8435003764001,587393,1.71277024305089,1.85170762275637,1.85170762275637,1.98778586278586,2.33030145530146,2.33030145530146
"Epiphyllum thomasianum",299674,256366,"GFDL-ESM4",46.3461252325469,2576760,0.198029379870966,0,0,0.214149375654878,0,0
"Epithelantha greggii",81848,41454,"UKESM1-0-LL",3.09571006618615,249346,1.73141313262894,1.73141313262894,1.73141313262894,1.9638476199785,1.91991252077021,1.96526488124328
"Epithelantha ilariae",36382,16053,"MPI-ESM1-2-HR",1.96689865925392,203962,1.59241263315268,1.59241263315268,1.59241263315268,2.5250673409928,2.5250673409928,2.5250673409928
"Epithelantha micromeris",495530,401714,"GFDL-ESM4",15.1318712328829,1332281,0.629373136111761,0.053508217288917,0.170083691382426,0.583617540814885,0.0979234355134906,0.184566020220774
"Epithelantha pachyrhiza",35730,19254,"MPI-ESM1-2-HR",2.61591998003482,307618,0,0,0,0,0,0
"Epithelantha spinosior",9525,5354,"GFDL-ESM4",1.48959854338135,168837,0,0,0,0,0,0
"Eriosyce aurata",104604,74743,"UKESM1-0-LL",11.613896169036,570626,0,0,0,0,0,0
"Eriosyce castanea",83762,34625,"MPI-ESM1-2-HR",2.83293032929232,295901,0,0,0,0.0204388624913445,0,0
"Eriosyce curvispina",90587,64051,"UKESM1-0-LL",16.728874359996,1324642,0,0,0,0.0119884751675185,0,0
"Eriosyce eriosyzoides",129806,66530,"GFDL-ESM4",7.67476644983571,249192,0,0,0,0,0,0
"Eriosyce heinrichiana",50234,25637,"MPI-ESM1-2-HR",4.6038633837063,286950,0,0,0,0,0,0
"Eriosyce islayensis",79628,56351,"UKESM1-0-LL",2.29962957791597,171040,1.06798459654665,0.795070185089883,0.650210289080939,1.04554930426483,0.750841412568443,0.578289044054855
"Eriosyce kunzei",112446,58252,"GFDL-ESM4",9.00320563083504,385639,1.71667925564787e-05,0,0,8.89315760453907e-06,0,0
"Eriosyce limariensis",17324,13728,"UKESM1-0-LL",1.59424857137398,117850,0,0,0,0,0,0
"Eriosyce nigrihorrida",10750,4505,"MPI-ESM1-2-HR",0.742284982928778,89292,0,0,0,0,0,0
"Eriosyce odieri",18851,3519,"MPI-ESM1-2-HR",0.700561141037243,41173,0.748792270531401,1.08553566354078,0.148621767547599,0.753806164129224,1.02822131451912,0.223595565222004
"Eriosyce paucicostata",185918,150402,"MPI-ESM1-2-HR",16.217966754324,1301350,1.14460578981662,1.18458531136554,1.2197311205968,1.39778289353371,1.51863724867953,1.69886724254779
"Eriosyce rodentiophila",5784,3315,"UKESM1-0-LL",1.30571929635161,95398,0,0,0,0,0,0
"Eriosyce senilis",35690,18167,"GFDL-ESM4",3.53607205897271,156858,0,0,0,0,0,0
"Eriosyce simulans",79484,56522,"MPI-ESM1-2-HR",7.60425668264471,751612,1.50153922366512,1.64081242701957,1.64081242701957,1.74123093956016,2.00654219717176,2.00654219717176
"Eriosyce strausiana",182527,108912,"MPI-ESM1-2-HR",17.5581270702706,1171983,0.329697370354047,0,0,0.422364910396818,0,0
"Eriosyce subgibbosa",89665,41769,"UKESM1-0-LL",12.836278679928,585245,0,0,0,0,0,0
"Eriosyce taltalensis",175414,111802,"GFDL-ESM4",9.76898133305773,324604,0.00478524534444822,0,0,0.0030499275998495,0,0
"Eriosyce villosa",103528,51267,"MPI-ESM1-2-HR",9.01212602099393,251712,0,0,0,0,0,0
"Eriosyce wagenknechtii",106958,52395,"GFDL-ESM4",6.77115824407314,353623,0,0,0,8.4145178481273e-05,0,0
"Espostoa lanata",187823,143367,"MPI-ESM1-2-HR",9.76942771929492,347270,0.356713888133252,0.321663981250915,0.542551633221034,0.427232021637393,0.33805763937324,0.58947519739329
"Eulychnia acida",64774,41630,"GFDL-ESM4",6.91873624645409,274842,0.00490031227480183,0,0,0.00314941180103128,0,0
"Eulychnia breviflora",178182,95710,"MPI-ESM1-2-HR",13.9658387400324,1067649,0.350235085153067,0,0,0.350764948199032,0,0
"Eulychnia iquiquensis",106106,71904,"UKESM1-0-LL",4.06790172996924,208303,0.807868825100133,0.760959056519804,0.709793613707165,0.770719846191544,0.717160198292274,0.675051363730609
"Facheiroa squamosa",397477,311749,"MPI-ESM1-2-HR",10.9342209667073,524501,0.421797664146477,0.000789096356363613,0.00183160170521798,0.430920531250865,0.0178727322587219,0.00544937191334341
"Ferocactus acanthodes",350579,327886,"UKESM1-0-LL",17.7028561998649,1956324,0.613030138523755,0.598900227518101,0.960913244237326,0.659369214927306,0.623628340545212,1.06158954187216
"Ferocactus alamosanus",252910,206037,"GFDL-ESM4",7.04356519289437,455642,1.02813572319535,1.03434334609803,1.0414051845057,1.03432841722352,1.04014471551145,1.04810406864102
"Ferocactus chrysacanthus",17920,13504,"GFDL-ESM4",0.882801300129779,130343,1.61678021327014,1.61678021327014,1.61678021327014,2.75334821428571,2.75334821428571,2.75334821428571
"Ferocactus echidne",179720,114261,"GFDL-ESM4",24.0448758413267,1726587,1.23478702269366,1.23478702269366,1.23478702269366,1.52249054084131,1.52249054084131,1.52249054084131
"Ferocactus emoryi",270038,158804,"GFDL-ESM4",11.986203236039,1088487,1.19890556912924,1.19890556912924,1.19890556912924,1.19069538361268,1.19069538361268,1.19069538361268
"Ferocactus flavovirens",15993,4736,"UKESM1-0-LL",1.30235114594157,21974,0,0,0,0,0,0
"Ferocactus fordii",45147,28119,"UKESM1-0-LL",5.36612762694479,220141,0,0,0,0,0,0
"Ferocactus glaucescens",138946,83242,"GFDL-ESM4",10.8687831073542,960593,1.44201244564042,1.44201244564042,1.44201244564042,1.61610265858679,1.61610265858679,1.61610265858679
"Ferocactus gracilis",80155,68426,"MPI-ESM1-2-HR",5.31254161657117,494376,1.34082074065414,1.34087919796569,1.34087919796569,1.45010292558169,1.45015282889402,1.45015282889402
"Ferocactus herrerae",104701,82932,"GFDL-ESM4",13.1092619883919,782379,0.209328124246371,0.107485650894709,0.0608329715911831,0.261831310111651,0.117104898711569,0.0607826095261745
"Ferocactus histrix",230304,198041,"GFDL-ESM4",19.3430845633591,1528328,1.73975085967047,1.74023560777819,1.74023560777819,2.06921720855912,2.06963404890927,2.06963404890927
"Ferocactus macrodiscus",163839,127999,"GFDL-ESM4",9.89890343367638,943874,0.0324611911030555,0,0,0.0846684855254243,0,0
